[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
C_PREPAYMENT,Customer Prepayments,Prepayments for future revenue,Liability,,Yes,No,C_PREPAYMENT_ACCT,DEFAULTS_NOT_CONFIGURED
T_DUE,Tax due,Tax to be paid - before tax declaration,Liability,,Yes,No,T_DUE_ACCT,DEFAULTS_NOT_CONFIGURED
INTERCOMPANYDUETO,Intercompany Due To,Default Payables account for intercompany trx,Liability,,Yes,No,INTERCOMPANYDUETO_ACCT,DEFAULTS_NOT_CONFIGURED
P_REVENUE,Trade Revenue,Default Product or Service revenue,Revenue,,Yes,No,P_REVENUE_ACCT,DEFAULTS_NOT_CONFIGURED
UNEARNEDREVENUE,Unearned revenue,"We have invoiced, but not delivered yet",Revenue,,Yes,No,UNEARNEDREVENUE_ACCT,DEFAULTS_NOT_CONFIGURED
P_TRADEDISCOUNTGRANT,Trade Discounts,Granted Trade discounts (corrects Product Revenue),Revenue,,Yes,No,P_TRADEDISCOUNTGRANT_ACCT,DEFAULTS_NOT_CONFIGURED
PAYDISCOUNT_EXP,Payment discount expense,Granted early payment discount to customers,Revenue,,Yes,No,PAYDISCOUNT_EXP_ACCT,DEFAULTS_NOT_CONFIGURED
P_COGS,Product CoGs,Cost of Goods Sold,Expense,,Yes,No,P_COGS_ACCT,DEFAULTS_NOT_CONFIGURED
P_EXPENSE,Product Expense,Default Service costs (I.e. not on inventory),Expense,,Yes,No,P_EXPENSE_ACCT,DEFAULTS_NOT_CONFIGURED
P_COSTADJUSTMENT,Product Cost Adjustment,Product Cost Adjustments,Expense,,Yes,No,P_COSTADJUSTMENT_ACCT,DEFAULTS_NOT_CONFIGURED
P_LANDEDCOSTCLEARING,Landed Cost Clearing,Default Landed Cost Clearing,Expense,,Yes,No,P_LANDEDCOSTCLEARING_ACCT,DEFAULTS_NOT_CONFIGURED
P_INVENTORYCLEARING,Product Inventory Clearing,Default Product costs (I.e. on inventory),Expense,,Yes,No,P_INVENTORYCLEARING_ACCT,DEFAULTS_NOT_CONFIGURED
W_DIFFERENCES,Inventory Shrinkage,Physical Inventory Gain/Loss,Expense,,Yes,No,W_DIFFERENCES_ACCT,DEFAULTS_NOT_CONFIGURED
P_INVOICEPRICEVARIANCE,Invoice price variance,Difference between product cost and invoice price (IPV),Expense,,Yes,No,P_INVOICEPRICEVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_PURCHASEPRICEVARIANCE,Purchase price variance,Difference between purchase price and standard costs (PPV),Expense,,Yes,No,P_PURCHASEPRICEVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
PPVOFFSET,Purchase price variance Offset,Offset Account for Purchase price variance (PPV) ,Expense,,Yes,No,PPVOFFSET_ACCT,DEFAULTS_NOT_CONFIGURED
P_RATEVARIANCE,Rate Variance,Account for Rate Variance,Expense,,Yes,No,P_RATEVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_AVERAGECOSTVARIANCE,Average Cost Variance,Account for Average Cost Variance,Expense,,Yes,No,P_AVERAGECOSTVARIANCE_ACCT,DEFAULTS_NOT_CONFIGURED
P_TRADEDISCOUNTREC,Trade discounts received,Received Trade Discounts (corrects Product expense),Expense,,Yes,No,P_TRADEDISCOUNTREC_ACCT,DEFAULTS_NOT_CONFIGURED
PAYDISCOUNT_REV,Payment discount revenue,Granted early payment discount from vendors,Expense,,Yes,No,PAYDISCOUNT_REV_ACCT,DEFAULTS_NOT_CONFIGURED
T_EXPENSE,Tax expense,Sales Tax paid to Vendors,Expense,,Yes,No,T_EXPENSE_ACCT,DEFAULTS_NOT_CONFIGURED
WRITEOFF,Bad Debts Write-off,Receivables write-off - bad debt,Expense,,Yes,No,WRITEOFF_ACCT,DEFAULTS_NOT_CONFIGURED
